Title,,,,contract_type,,,customer_birthday,,,,,,,,,,,,,,,,,payment_type,,,,,,,,,,,,,,entr_no,,,,,,subscription_type,create_date,,status,,ivr_preferred_language,imei,subscription_key,,,,
Personal / Postpaid / UT-001,炤為85101001,,1,1,11,MN-UT001,,,DRIVE-UT001,UT-001,1,500001,,101105,,,,,Tel,General,123456,Y,,1,1,Personal / Postpaid / UT-001,,,1,1,,1,Personal / Postpaid / UT-001,UT-001,,,,1001,,500001,,510001,8800-0001,2,2012-11-09,A,1,,1,,428880111011172,,,,
Personal / Postpaid / UT-002,炤為85101002,,2,1,11,MN-UT002,,,DRIVE-UT002,UT-002,2,500002,,101106,,,,,Email,Office,炤為85101001@gmail.com,Y,,1,2,Personal / Postpaid / UT-002,,,2,2,,2,Personal / Postpaid / UT-002,UT-002,,,,1002,101106,500002,manager1,510001,,4,2012-11-10,A,1,,1,,428880111011174,,,,
Personal / Postpaid / UT-003,炤為85101003,,1,1,11,MN-UT003,,,DRIVE-UT003,UT-003,3,500003,,101107,,,,,Tel,Bill,123456,Y,,1,3,Personal / Postpaid / UT-003,,,1,1,,1,Personal / Postpaid / UT-003,UT-003,,,,1003,101107,500003,manager1,510001,,3,2012-11-11,A,1,,1,,428880111011175,,,,
Personal / Postpaid / UT-004,炤為85101004,,2,1,11,MN-UT004,,,DRIVE-UT004,UT-004,4,500004,,101108,,,,,Email,Etc,炤為85101003@gmail.com,Y,,1,4,Personal / Postpaid / UT-004,,,2,2,,2,Personal / Postpaid / UT-004,UT-004,,,,1004,101108,500004,manager1,510001,8800-0004,5,2012-11-12,A,1,,1,,428880111011176,,,,
Personal / Postpaid / UT-005,炤為85101005,,1,1,11,MN-UT005,,,DRIVE-UT005,UT-005,5,500005,,101109,,,,,Tel,General,123456,Y,,1,5,Personal / Postpaid / UT-005,,,1,1,,1,Personal / Postpaid / UT-005,UT-005,,,,1005,,500005,,510001,,6,2012-11-13,A,1,,1,,428880111011177,,,,
Personal / Postpaid / UT-006,炤為85101006,,2,1,11,MN-UT006,,,DRIVE-UT006,UT-006,6,500006,,101110,,,,,Email,Office,炤為85101005@gmail.com,Y,,1,1,Personal / Postpaid / UT-006,,,2,2,,2,Personal / Postpaid / UT-006,UT-006,,,,1006,101110,500006,manager1,510001,8800-0006,"2, 4",2012-11-14,A,1,,1,,428880111011179,,,,
Personal / Postpaid / UT-007,炤為85101007,,1,1,11,MN-UT007,,,DRIVE-UT007,UT-007,7,500007,,101111,,,,,Tel,Bill,123456,Y,,1,2,Personal / Postpaid / UT-007,,,1,1,,1,Personal / Postpaid / UT-007,UT-007,,,,1007,101111,500007,manager1,510001,8800-0007,"2, 3",2012-11-15,A,1,,1,,428880111011180,,,,
Personal / Postpaid / UT-008,炤為85101008,,2,1,11,MN-UT008,,,DRIVE-UT008,UT-008,8,500008,,101112,,,,,Email,Etc,炤為85101007@gmail.com,Y,,1,3,Personal / Postpaid / UT-008,,,2,2,,2,Personal / Postpaid / UT-008,UT-008,,,,1008,101112,500008,manager1,510001,8800-0008,"2, 5",2012-11-16,A,1,,1,,428880111011182,,,,
Personal / Postpaid / UT-009,炤為85101009,,1,1,11,MN-UT009,,,DRIVE-UT009,UT-009,9,500009,,101113,,,,,Tel,General,123456,Y,,1,4,Personal / Postpaid / UT-009,,,1,1,,1,Personal / Postpaid / UT-009,UT-009,,,,1009,101113,500009,manager1,510001,,"3, 4",2012-11-17,A,1,,1,,428880111011183,,,,
Personal / Postpaid / UT-010,炤為85101010,,2,1,11,MN-UT010,,,DRIVE-UT010,UT-010,10,500010,,101114,,,,,Email,Office,炤為85101009@gmail.com,Y,,1,5,Personal / Postpaid / UT-010,,,2,2,,2,Personal / Postpaid / UT-010,UT-010,,,,1010,101114,500010,manager1,510001,8800-0010,"4, 5",2012-11-18,A,1,,1,,428880111011184,,,,
